train dataset: torch.Size([3, 84, 84]) (x38400), 64
fs dataset: torch.Size([3, 84, 84]) (x12000), 20
num params: 8.0M
epoch 84, train 1.4301|0.6050, 19.5s 34.1m/40.6m
epoch 85, train 1.4234|0.6100, fs 1: 0.5327 5: 0.7116, 40.9s 34.8m/40.9m
epoch 86, train 1.4261|0.6048, 19.6s 35.1m/40.8m
epoch 87, train 1.4167|0.6110, 19.5s 35.4m/40.7m
epoch 88, train 1.4204|0.6104, 19.5s 35.8m/40.6m
epoch 89, train 1.4160|0.6095, 19.5s 36.1m/40.5m
epoch 90, train 1.4124|0.6107, fs 1: 0.5363 5: 0.7153, 40.8s 36.8m/40.9m
epoch 91, train 1.0420|0.7115, 19.5s 37.1m/40.8m
epoch 92, train 0.9038|0.7457, 19.4s 37.4m/40.7m
epoch 93, train 0.8529|0.7614, 19.5s 37.8m/40.6m
epoch 94, train 0.8226|0.7664, 19.5s 38.1m/40.5m
epoch 95, train 0.7934|0.7758, fs 1: 0.5947 5: 0.7793, 41.1s 38.8m/40.8m
epoch 96, train 0.7682|0.7809, 19.5s 39.1m/40.7m
epoch 97, train 0.7409|0.7896, 19.5s 39.4m/40.7m
epoch 98, train 0.7416|0.7882, 19.6s 39.8m/40.6m
epoch 99, train 0.7311|0.7900, 19.4s 40.1m/40.5m
epoch 100, train 0.7132|0.7979, fs 1: 0.5900 5: 0.7774, 40.8s 40.8m/40.8m
epoch 101, train 0.6971|0.7984, fs 1: 0.5946 5: 0.7817, 40.7s
